date,product,category,demand_units,unit_price_eur,demand_value_eur,cold_chain,disruption_event,seasonality_type
2022-01-01,Paracetamol_500mg,OTC,3492,0.05,174.6,False,covid_wave,winter_peak
2022-01-02,Paracetamol_500mg,OTC,3323,0.05,166.15,False,covid_wave,winter_peak
2022-01-03,Paracetamol_500mg,OTC,4418,0.05,220.9,False,covid_wave,winter_peak
2022-01-04,Paracetamol_500mg,OTC,4713,0.05,235.65,False,covid_wave,winter_peak
2022-01-05,Paracetamol_500mg,OTC,4123,0.05,206.15,False,covid_wave,winter_peak
2022-01-06,Paracetamol_500mg,OTC,4124,0.05,206.2,False,covid_wave,winter_peak
2022-01-07,Paracetamol_500mg,OTC,4734,0.05,236.7,False,covid_wave,winter_peak
2022-01-08,Paracetamol_500mg,OTC,3569,0.05,178.45,False,covid_wave,winter_peak
2022-01-09,Paracetamol_500mg,OTC,3236,0.05,161.8,False,covid_wave,winter_peak
2022-01-10,Paracetamol_500mg,OTC,4387,0.05,219.35,False,covid_wave,winter_peak
2022-01-11,Paracetamol_500mg,OTC,4049,0.05,202.45,False,covid_wave,winter_peak
2022-01-12,Paracetamol_500mg,OTC,4049,0.05,202.45,False,covid_wave,winter_peak
2022-01-13,Paracetamol_500mg,OTC,4288,0.05,214.4,False,covid_wave,winter_peak
2022-01-14,Paracetamol_500mg,OTC,3563,0.05,178.15,False,covid_wave,winter_peak
2022-01-15,Paracetamol_500mg,OTC,2901,0.05,145.05,False,covid_wave,winter_peak
2022-01-16,Paracetamol_500mg,OTC,3215,0.05,160.75,False,covid_wave,winter_peak
2022-01-17,Paracetamol_500mg,OTC,3868,0.05,193.4,False,covid_wave,winter_peak
2022-01-18,Paracetamol_500mg,OTC,4315,0.05,215.75,False,covid_wave,winter_peak
2022-01-19,Paracetamol_500mg,OTC,3904,0.05,195.2,False,covid_wave,winter_peak
2022-01-20,Paracetamol_500mg,OTC,3735,0.05,186.75,False,covid_wave,winter_peak
2022-01-21,Paracetamol_500mg,OTC,4705,0.05,235.25,False,covid_wave,winter_peak
2022-01-22,Paracetamol_500mg,OTC,3308,0.05,165.4,False,covid_wave,winter_peak
2022-01-23,Paracetamol_500mg,OTC,3388,0.05,169.4,False,covid_wave,winter_peak
2022-01-24,Paracetamol_500mg,OTC,3733,0.05,186.65,False,covid_wave,winter_peak
2022-01-25,Paracetamol_500mg,OTC,4030,0.05,201.5,False,covid_wave,winter_peak
2022-01-26,Paracetamol_500mg,OTC,4251,0.05,212.55,False,covid_wave,winter_peak
2022-01-27,Paracetamol_500mg,OTC,3826,0.05,191.3,False,covid_wave,winter_peak
2022-01-28,Paracetamol_500mg,OTC,4342,0.05,217.1,False,covid_wave,winter_peak
2022-01-29,Paracetamol_500mg,OTC,3210,0.05,160.5,False,covid_wave,winter_peak
2022-01-30,Paracetamol_500mg,OTC,3294,0.05,164.7,False,covid_wave,winter_peak
2022-01-31,Paracetamol_500mg,OTC,4014,0.05,200.7,False,covid_wave,winter_peak
2022-02-01,Paracetamol_500mg,OTC,4669,0.05,233.45,False,covid_wave,winter_peak
2022-02-02,Paracetamol_500mg,OTC,4063,0.05,203.15,False,covid_wave,winter_peak
2022-02-03,Paracetamol_500mg,OTC,3724,0.05,186.2,False,covid_wave,winter_peak
2022-02-04,Paracetamol_500mg,OTC,4336,0.05,216.8,False,covid_wave,winter_peak
2022-02-05,Paracetamol_500mg,OTC,2936,0.05,146.8,False,covid_wave,winter_peak
2022-02-06,Paracetamol_500mg,OTC,3309,0.05,165.45,False,covid_wave,winter_peak
2022-02-07,Paracetamol_500mg,OTC,3432,0.05,171.6,False,covid_wave,winter_peak
2022-02-08,Paracetamol_500mg,OTC,3638,0.05,181.9,False,covid_wave,winter_peak
2022-02-09,Paracetamol_500mg,OTC,4135,0.05,206.75,False,covid_wave,winter_peak
2022-02-10,Paracetamol_500mg,OTC,4312,0.05,215.6,False,covid_wave,winter_peak
2022-02-11,Paracetamol_500mg,OTC,4128,0.05,206.4,False,covid_wave,winter_peak
2022-02-12,Paracetamol_500mg,OTC,3228,0.05,161.4,False,covid_wave,winter_peak
2022-02-13,Paracetamol_500mg,OTC,3180,0.05,159.0,False,covid_wave,winter_peak
2022-02-14,Paracetamol_500mg,OTC,3592,0.05,179.6,False,covid_wave,winter_peak
2022-02-15,Paracetamol_500mg,OTC,3840,0.05,192.0,False,covid_wave,winter_peak
2022-02-16,Paracetamol_500mg,OTC,3925,0.05,196.25,False,covid_wave,winter_peak
2022-02-17,Paracetamol_500mg,OTC,4420,0.05,221.0,False,covid_wave,winter_peak
2022-02-18,Paracetamol_500mg,OTC,4188,0.05,209.4,False,covid_wave,winter_peak
2022-02-19,Paracetamol_500mg,OTC,2801,0.05,140.05,False,covid_wave,winter_peak
2022-02-20,Paracetamol_500mg,OTC,3346,0.05,167.3,False,covid_wave,winter_peak
2022-02-21,Paracetamol_500mg,OTC,3952,0.05,197.6,False,covid_wave,winter_peak
2022-02-22,Paracetamol_500mg,OTC,3857,0.05,192.85,False,covid_wave,winter_peak
2022-02-23,Paracetamol_500mg,OTC,4279,0.05,213.95,False,covid_wave,winter_peak
2022-02-24,Paracetamol_500mg,OTC,4416,0.05,220.8,False,covid_wave,winter_peak
2022-02-25,Paracetamol_500mg,OTC,4384,0.05,219.2,False,covid_wave,winter_peak
2022-02-26,Paracetamol_500mg,OTC,3045,0.05,152.25,False,covid_wave,winter_peak
2022-02-27,Paracetamol_500mg,OTC,3184,0.05,159.2,False,covid_wave,winter_peak
2022-02-28,Paracetamol_500mg,OTC,4190,0.05,209.5,False,covid_wave,winter_peak
2022-03-01,Paracetamol_500mg,OTC,3586,0.05,179.3,False,covid_wave,winter_peak
2022-03-02,Paracetamol_500mg,OTC,3199,0.05,159.95,False,covid_wave,winter_peak
2022-03-03,Paracetamol_500mg,OTC,3278,0.05,163.9,False,covid_wave,winter_peak
2022-03-04,Paracetamol_500mg,OTC,3033,0.05,151.65,False,covid_wave,winter_peak
2022-03-05,Paracetamol_500mg,OTC,2407,0.05,120.35,False,covid_wave,winter_peak
2022-03-06,Paracetamol_500mg,OTC,2836,0.05,141.8,False,covid_wave,winter_peak
2022-03-07,Paracetamol_500mg,OTC,3690,0.05,184.5,False,covid_wave,winter_peak
2022-03-08,Paracetamol_500mg,OTC,3310,0.05,165.5,False,covid_wave,winter_peak
2022-03-09,Paracetamol_500mg,OTC,3597,0.05,179.85,False,covid_wave,winter_peak
2022-03-10,Paracetamol_500mg,OTC,3427,0.05,171.35,False,covid_wave,winter_peak
2022-03-11,Paracetamol_500mg,OTC,3159,0.05,157.95,False,covid_wave,winter_peak
2022-03-12,Paracetamol_500mg,OTC,2741,0.05,137.05,False,covid_wave,winter_peak
2022-03-13,Paracetamol_500mg,OTC,2993,0.05,149.65,False,covid_wave,winter_peak
