month,product,current_stock,safety_stock,reorder_point,max_stock,lead_time_days,days_until_stockout,reorder_triggered,status
2022-01,Paracetamol_500mg,6155,8000,15000,60000,7,5,False,CRITICAL
2022-02,Paracetamol_500mg,24365,8000,15000,60000,7,20,True,OK
2022-03,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
2022-04,Paracetamol_500mg,28282,8000,15000,60000,7,23,True,OK
2022-05,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
2022-06,Paracetamol_500mg,19475,8000,15000,60000,7,16,True,OK
2022-07,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
2022-08,Paracetamol_500mg,29254,8000,15000,60000,7,24,True,OK
2022-09,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
2022-10,Paracetamol_500mg,22025,8000,15000,60000,7,18,True,OK
2022-11,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
2022-12,Paracetamol_500mg,20329,8000,15000,60000,7,16,True,OK
2023-01,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
2023-02,Paracetamol_500mg,19344,8000,15000,60000,7,16,True,OK
2023-03,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
2023-04,Paracetamol_500mg,21877,8000,15000,60000,7,18,True,OK
2023-05,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
2023-06,Paracetamol_500mg,28074,8000,15000,60000,7,23,True,OK
2023-07,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
2023-08,Paracetamol_500mg,28072,8000,15000,60000,7,23,True,OK
2023-09,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
2023-10,Paracetamol_500mg,20612,8000,15000,60000,7,17,True,OK
2023-11,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
2023-12,Paracetamol_500mg,20347,8000,15000,60000,7,16,True,OK
2024-01,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
2024-02,Paracetamol_500mg,25328,8000,15000,60000,7,21,True,OK
2024-03,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
2024-04,Paracetamol_500mg,29008,8000,15000,60000,7,24,True,OK
2024-05,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
2024-06,Paracetamol_500mg,26907,8000,15000,60000,7,22,True,OK
2024-07,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
2024-08,Paracetamol_500mg,27896,8000,15000,60000,7,23,True,OK
2024-09,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
2024-10,Paracetamol_500mg,19808,8000,15000,60000,7,16,True,OK
2024-11,Paracetamol_500mg,0,8000,15000,60000,7,0,False,CRITICAL
