month,total_demand_units,total_demand_eur,avg_daily_demand,ai_forecast_error_pct,traditional_forecast_error_pct,forecast_improvement_pct,stockout_events,reorder_events,waste_units_traditional,waste_units_ai,waste_reduction_pct,cost_saving_eur,order_fulfillment_rate_pct
2022-01,390487,132055.3,1259.6354838709678,7.031048275862165,16.618795704369326,9.6,8,0,33641,6087,81.9,4133.1,97.8
2022-02,349526,118458.69,1248.307142857143,7.4421585257204805,20.84624332485232,13.4,0,10,27095,7310,73.0,2967.75,97.9
2022-03,346942,128173.7,1119.167741935484,7.256444196487575,25.171039145158417,17.9,10,0,31585,4813,84.8,4015.8,97.7
2022-04,155644,71841.26,518.8133333333334,5.166834743484174,21.965580472657372,16.8,0,10,13816,3688,73.3,1519.2,96.5
2022-05,157410,75467.66,507.7741935483871,6.793369423433905,26.504892239711786,19.7,10,0,10241,2857,72.1,1107.6,94.6
2022-06,147383,72528.05,491.27666666666664,3.4878958478813473,22.911622840074138,19.4,0,10,9130,3029,66.8,915.15,94.1
2022-07,148886,73997.75,480.2774193548387,3.2012238530962533,23.650761618856464,20.4,10,0,14161,1910,86.5,1837.65,92.1
2022-08,154204,76253.32,497.43225806451613,6.766182071543804,23.346501216178044,16.6,0,10,9744,3522,63.9,933.3,97.8
2022-09,157103,74062.03,523.6766666666666,5.126776371643419,20.292428704572377,15.2,10,0,10358,6205,40.1,622.95,92.6
2022-10,171343,77939.61,552.7193548387097,7.977746323697846,23.65074351080116,15.7,0,10,10432,3403,67.4,1054.35,96.4
2022-11,185975,80357.93,619.9166666666666,3.486271079277662,14.975908450565456,11.5,10,0,15832,6749,57.4,1362.45,95.5
2022-12,204382,83856.17,659.2967741935483,7.278138407676169,26.037920606819284,18.8,0,10,17023,7213,57.6,1471.5,95.7
2023-01,201661,82878.62,650.5193548387097,5.399915327644958,24.889370008214843,19.5,10,0,20060,7776,61.2,1842.6,98.5
2023-02,180159,74230.28,643.425,7.135750977519385,17.433219415243503,10.3,0,10,17201,6071,64.7,1669.5,92.2
2023-03,182650,81297.61,589.1935483870968,7.085636410850724,24.752454359557156,17.7,10,0,13960,5440,61.0,1278.0,97.4
2023-04,161280,75614.93,537.6,7.579960006810387,14.17699641960026,6.6,0,10,12073,5757,52.3,947.4,92.4
2023-05,165623,79023.91,534.2677419354839,4.489250056430514,17.041452014732325,12.6,10,0,11904,2032,82.9,1480.8,92.3
2023-06,153803,76335.08,512.6766666666666,7.7489967673100155,14.911921341392542,7.2,0,10,10165,3673,63.9,973.8,95.0
2023-07,156819,78531.19,505.8677419354839,3.7583348017881013,24.923176832650526,21.2,10,0,10275,6222,39.4,607.95,92.4
2023-08,131531,69849.06,424.2935483870968,3.409843887967453,24.58223811649742,21.2,0,10,8587,4352,49.3,635.25,97.5
2023-09,149603,73622.09,498.6766666666667,5.1580775868617454,25.390904333225627,20.2,10,0,9659,5813,39.8,576.9,95.7
2023-10,180295,83364.25,581.5967741935484,7.141614843209213,14.062743706557404,6.9,0,10,12552,6019,52.0,979.95,92.2
2023-11,191968,82807.4,639.8933333333333,5.367105653167227,21.017258173497712,15.7,10,0,13872,6958,49.8,1037.1,92.3
2023-12,211954,87236.08,683.7225806451613,7.1464333876525705,23.867706765242712,16.7,0,10,20869,6612,68.3,2138.55,96.3
2024-01,212595,88483.23,685.7903225806451,6.648434028971526,16.175615802346215,9.5,10,0,17674,6976,60.5,1604.7,97.6
2024-02,196980,81963.92,679.2413793103449,4.047141930694668,23.097070185176747,19.0,0,10,19600,5061,74.2,2180.85,95.1
2024-03,189422,83958.92,611.0387096774193,7.744408124497319,15.1775413903356,7.4,10,0,14187,7146,49.6,1056.15,95.9
2024-04,172206,81217.23,574.02,3.303905843147017,16.538561985460383,13.2,0,10,13484,5984,55.6,1125.0,97.6
2024-05,173115,82578.18,558.4354838709677,7.4913985377189745,20.661155409924415,13.2,10,0,12634,6113,51.6,978.15,96.3
2024-06,160723,79093.56,535.7433333333333,4.52221724495187,23.14991213753543,18.6,0,10,10819,4852,55.2,895.05,93.6
2024-07,165093,82258.59,532.558064516129,5.500740415821996,16.042167777354546,10.5,10,0,10850,3159,70.9,1153.65,96.3
2024-08,166677,81272.71,537.6677419354838,5.111759363503673,16.59312663163313,11.5,0,10,16301,1844,88.7,2168.55,96.4
2024-09,169491,80743.23,564.97,3.859172784584581,16.86224913891928,13.0,10,0,16859,6452,61.7,1561.05,97.1
2024-10,191831,85236.03,618.8096774193548,4.790734332008466,17.341811265785697,12.6,0,10,11854,5291,55.4,984.45,96.3
2024-11,307886,115215.78,1026.2866666666666,3.9646721814639765,17.171753879368076,13.2,10,0,20324,5832,71.3,2173.8,98.8
2024-12,354872,126044.52,1144.7483870967742,4.0194323773026195,19.532087518966915,15.5,0,10,27304,5136,81.2,3325.2,93.4
